BUSINESS NAME,STREET ADDRESS,CITY,ZIP CODE
LOS ANGELES NEIGHBORHOOD HOUSING ASSOCIATION,11243 GLENOAKS BLVD #9,PACOIMA,91331-7346
SON OF SEMELE ENSEMBLE /C,3301 BEVERLY BLVD,LOS ANGELES,90004-6003
INTERNATIONAL INSTITUTE OF LOS ANGELES,2037 LINCOLN PARK AVENUE,LOS ANGELES,90031-2792
THE KOREAN VETERANS ASSOCIATION IN WESTERN REGION OF THE USA,695 S VERMONT AVENUE #503,LOS ANGELES,90005-1349
ST JOHN'S WELL CHILD & FAMILY CENTER,2300 S FLOWER STREET #303,LOS ANGELES,90007-2677
ST JOHN'S WELL CHILD & FAMILY CENTER,2115 N WILMINGTON AVENUE,COMPTON,90222-2030
ST JOHN'S WELL CHILD & FAMILY CENTER,4112 E OLYMPIC BLVD,LOS ANGELES,90023-3313
WOMEN ORGANIZING RESOURCES KNOWLEDGE AND SERVICES,2120 2ND AVENUE,LOS ANGELES,90018-1256
WOMEN ORGANIZING RESOURCES KNOWLEDGE AND SERVICES,1809 S VAN NESS AVENUE,LOS ANGELES,90019-6257
DALLAS DORSETT,1924 PINEHURST ROAD,LOS ANGELES,90068-3730
AMERCAN CANCER SOCIETY CALIFORNIA DIVISION,4454 VAN NUYS BLVD,SHERMAN OAKS,91403-2912
JOSE E/MARIA A BAZA,903 N HOBART BLVD,LOS ANGELES,90029-3255
HSIS SCHOOLS INC,926 S GRANDEE AVENUE,COMPTON,90220-4263
HSIS SCHOOLS INC,625 W VERNON AVENUE #1 4,LOS ANGELES,90037-2611
HSIS SCHOOLS INC,7216 S HOOVER STREET #A D,LOS ANGELES,90044-6162
HSIS SCHOOLS INC,1317 W 39TH STREET,LOS ANGELES,90062-1244
HSIS SCHOOLS INC,10213 S MAIN STREET #A C,LOS ANGELES,90003-4621
MCCOY MEMORIAL BAPTIST CHURCH,805 E 47TH STREET,LOS ANGELES,90011-5426
VEDANTA SOCIETY OF SOUTHERN CALIFORNIA,2000 IVAR AVENUE,LOS ANGELES,90068-3960
INGRAM PRESERVATION PROPERTIES L P,1935 S LA SALLE AVENUE,LOS ANGELES,90018-1663
ELIZABETH W MASSARI,7020 TREASURE TRAIL,LOS ANGELES,90068-1840
SOUTHERN CALIFORNIA JUNIOR CRICKET,8383 WILSHIRE BLVD #450,BEVERLY HILLS,90211-2424
CHANGED MINISTRIES INTERNATIONAL,2700 SAN MARINO STREET #309,LOS ANGELES,90006-1838
COR CYMRAEG DE CALIFORNIA/WELCH CHOIR OF SO CAL,2600 MISSION STREET SUITE #206,SAN MARINO,91108-1676
EAST LOS ANGELES KOREAN CONGREGATION OF JEHOVA'S WITNESSES,3051 W PICO BLVD,LOS ANGELES,90006-3803
GEORGE GOLSHAN,1031 S BROADWAY #934,LOS ANGELES,90015-4015
GOLDEN VIEW PROPERTIES INC,13561 DESMOND STREET,PACOIMA,91331-2316
CONTINENTAL INSTALLATION INC,5446 CLEON AVENUE,N HOLLYWOOD,91601-2833
RICHARD S BAIDA,8336   TUNNEY AVENUE,NORTHRIDGE,91324-4261
WILLIAM R MARION,5901 OAKDALE AVENUE,WOODLAND HILLS,91367-5619
ANITA H LONGIN,4556 VISTA DEL MONTE AVENUE,SHERMAN OAKS,91403-2929
ROGER L ESHLEMAN,7105 COSTELLO AVENUE,VAN NUYS,91405-3308
MANE ENTERPRISES INC,533 IRVING DRIVE,BURBANK,91504-2410
MICHAEL CBUSTAD,9218 NATICK AVENUE,NORTH HILLS,91343-3422
LAWRENCE E BOOKMAN APC,15760 VENTURA BLVD #1900,ENCINO,91436-
KAZUE TOTSUBO,12611 ROSY CIRCLE,LOS ANGELES,90066-6928
STONEWAY CORPORATION,4825 ADELE COURT,WOODLAND HILLS,91364-4703
KAM-LOON CHEUNG/LILY YOY CHEUNG,938 CHUNG KING ROAD,LOS ANGELES,90012-1711
"GLEASON INDUSTRIAL PRODUCTS, INC.",10474 SANTA MONICA BLVD #400,LOS ANGELES,90025-6932
HELP4PETS INC,8721 SANTA MONICA BLVD #710,LOS ANGELES,90069-4507
ROCKSTAR COMMUNICATIONS INC,1801 MICHELTORENA STREET,LOS ANGELES,90026-1129
RICHARD KRAY,1632 N LAUREL AVENUE #105,LOS ANGELES,90046-2538
ARASH NOURPARVAR M D INC,16311 VENTURA BLVD #880,ENCINO,91436-4335
ENCINO LAW CENTER CONDOMINIUM ASSOCIATION INC,15915 VENTURA BLVD #100,ENCINO,91436-2738
TINA G WONG,635 CREST VISTA DRIVE,MONTEREY PARK,91754-3757
MANUEL CARRILLO,6052 GOLDEN WEST AVENUE,TEMPLE CITY,91780-1718
ROBERT A TURNER,10444 INDEPENDENCE AVENUE,CHATSWORTH,91311-2336
HARRY/PAMELA FLYNN,11100 HORTENSE STREET,N HOLLYWOOD,91602-1720
C AND H SUGAR COMPANY INC,830 LORING AVENUE,CROCKETT,94525-1104
CHRISTIANSEN AMUSEMENTS INC,544   N AVALON BLVD,WILMINGTON,90744-5806
ROBERT M KLEIN,11611 SAN VICENTE BLVD #820,LOS ANGELES,90049-6508
LAW FAMILY CHILD CARE LLC,930 WHITE KNOLL DRIVE #1,LOS ANGELES,90012-1375
SHINTARO/CHIZUKO SHIONO,333 S ALAMEDA STREET SPACE #100,LOS ANGELES,90013-1381
JOSE G/ROSALINA ARROYO TRUST,402 E M STREET,WILMINGTON,90744-2611
ANITA E BUNN,2093 BALMER DRIVE,LOS ANGELES,90039-3047
HERNANDEZ LUIS,1743 FLORADALE AVENUE,S EL MONTE,91733-3405
DAVID MARTINS MD,231 W VERNON AVENUE #102,LOS ANGELES,90037-2778
HENRY & SUSAN F YAN TRUST,1629 TALMADGE STREET,LOS ANGELES,90027-4555
F/N ENTERPRISES INC,3643 S 7TH STREET,PHOENIX,85040-1130
BUILD NEW BEGINNINGS INC,1355 E 114TH STREET #906,LOS ANGELES,90059-1700
STEVEN B SZUGYI,13501 WINGO STREET,ARLETA,91331-5636
ANNA TANG,1713 E VERNON AVENUE #106,LOS ANGELES,90058-1729
ECONOMIC PLUMBING & HEATING INC,310 N HOOVER STREET,LOS ANGELES,90004-3614
NATIONAL AWARENESS FOUNDATION /C,885 CONGRESSIONAL ROAD,SIMI VALLEY,93065-6617
LOS ANGELES GAY/LESBIAN COMMUNITY SERVICES CENTER /C,1625 SCHRADER BLVD,LOS ANGELES,90028-6213
DEAN'S CATERING INC,7630 POMELO DRIVE,WEST HILLS,91304-5351
STEPHEN R TRENIK,3635 ARTESIA BLVD #125,TORRANCE,90504-3374
ROBERT W LEWINE,8929 HOLLY PLACE,LOS ANGELES,90046-1835
TALLY ESPAR,18137 ROSITA STREET,TARZANA,91356-4625
LUIS N SANCHEZ,1572 W 49TH STREET,LOS ANGELES,90062-2410
EL PROYECTO DEL BARRIO INC,8902 WOODMAN AVENUE,ARLETA,91331-6401
ESGARDO G RINCON,1316 N BUENA VISTA STREET APARTMENT #A,BURBANK,91505-1929
CONTINENTAL MARBLE AND TILE CO,2460 ANSELMO DRIVE,CORONA,92879-8089
"GERALD MANN,TRUST",21334 MULHOLLAND DRIVE,WOODLAND HILLS,91364-5934
JULIE A GOREN,13351 CUMPSTON STREET,SHERMAN OAKS,91401-5350
ANDERSON F CASTANEDA,18925 VOSE STREET,RESEDA,91335-3934
DORIS C ZAMORANO,14650 PARTHENIA STREET #C6,PANORAMA CITY,91402-
JIN GEOL KIM,2975 WILSHIRE BLVD #550,LOS ANGELES,90010-1163
WEST HILLS HOSPITAL & MEDICAL CENTER AUXILIARY /C,7300 MEDICAL CENTER DRIVE,WEST HILLS,91307-1902
ANDREW/ANN ROTH,4010 LOS FELIZ BLVD,LOS ANGELES,90027-2359
AMERICO MANUFACTURING CO INC,3161 E 12TH STREET,LOS ANGELES,90023-3615
LEONISA M MCCAW,3008 TYBURN STREET,LOS ANGELES,90039-2158
JOHN J VOWELS,17522 BLACKHAWK STREET,GRANADA HILLS,91344-6038
DEREK GOODALL,12401 DEBBY STREET,N HOLLYWOOD,91606-3106
TOP SPEED INC.,7327 MELROSE AVENUE,LOS ANGELES,90046-7512
JALMIA DEVELOPMENT CORP,1457 FRANKLIN STREET,SANTA MONICA,90404-2610
DARROW HEATING/AIR CONDITIONING CORP,11944 VALERIO STREET,N HOLLYWOOD,91605-3734
HAMPARTSOUM BEKARIAN,9739 PALI AVENUE,TUJUNGA,91042-2936
MAY ROTH,6200 MARYLAND DRIVE,LOS ANGELES,90048-4738
ROBERT D ZEIGLER,9225 CEDROS AVENUE #B,PANORAMA CITY,91402-1235
MAYRA M GOODWIN,7240 CORBIN AVENUE #41,RESEDA,91335-3492
JOHN R/BARBARA E GREEN,2818 HACKETT AVENUE,LONG BEACH,90815-1548
ISAAC HIRANO,12510 SANFORD STREET,LOS ANGELES,90066-6935
MARIA E GARRIDO,11921 HART STREET #1,NORTH HOLLYWOOD,91605-5780
GENERAL CABLE INDUSTRIES INC,4 TESSENEER DRIVE,HIGHLAND HEIGHTS,41076-9167
CARLOS H ROMERO,11747 LA MAIDA STREET,N HOLLYWOOD,91607-3225
MIKE MCNULTY,18201 KINZIE STREET,NORTHRIDGE,91325-1703
RUBEN G GUTIERREZ,21027 COHASSET STREET,CANOGA PARK,91303-1422
GILBERT J ROMERO,15464 ROXFORD STREET,SYLMAR,91342-1261
STEVEN R SHEPHERD,17150 VOSE STREET,VAN NUYS,91406-3630
MICHAEL P KING APC,11661 SAN VICENTE BLVD #500,LOS ANGELES,90049-5113
LABORATORY CORPORATION OF AMERICA,1360 W 6TH STREET,SAN PEDRO,90732-3514
MERCEDES ULLOA,7220 WOODMAN AVENUE UNIT #104,VAN NUYS,91405-2665
LARRY KENNEDY,2231 E 2ND STREET,LONG BEACH,90803-5120
CITIZEN WATCH CO OF AMERICA INC,1000 W 190TH STREET,TORRANCE,90502-1040
JERREL ABDUL SALAAM,6723 BANDA AVENUE,PARAMOUNT,90723-3738
LURA D BALL,5308 11TH AVENUE,LOS ANGELES,90043-4818
ARMENIAN EVANGELICAL SOCIAL SERVICE CENTER INC,611 E COLORADO STREET,GLENDALE,91205-1709
INGLE & INGLE INC,23618 DUNSMORE LANE,VALENCIA,91354-2409
JACK C ECOFF,12740 SAN FERNANDO ROAD,SYLMAR,91342-3728
HAROLD GINSBURG GENERAL PARTNER,12224 VENTURA BLVD,STUDIO CITY,91604-2518
HIEN VIET DINH,18545 CANTARA STREET,RESEDA,91335-1228
ABES CHEVRON INC,2065 S LA CIENEGA BLVD,LOS ANGELES,90034-1607
AROUTYOUN TATEVOSIAN,13355 BURTON STREET,PANORAMA CITY,91402-5503
LOS ANGELES BEAUTIFUL INC,404 S BIXEL STREET,LOS ANGELES,90017-1420
LYDEN LAW CORPORATION,6320 CANOGA AVENUE UNIT #1400,WOODLAND HILLS,91367-2562
ADVANCE ELEVATOR INC,1451 SANTA FE AVENUE,LONG BEACH,90813-1249
JOANNE WILBORN/EDDIE L DUBOSE,15445 VENTURA BLVD #163,SHERMAN OAKS,91403-3005
K A R TINT INC,8629 GARVEY AVENUE #11,ROSEMEAD,91770-3277
LUCAS LIMITED,1200   WILSHIRE BLVD #208,LOS ANGELES,90017-1931
VLADIMIR/LILY YUSIN,4202 TUJUNGA AVENUE,STUDIO CITY,91604-2980
PHILLIP HILL,6703 BOTHWELL ROAD,RESEDA,91335-4932
MEDINAS HEATING & A/C INC.,3025 W VALLEY BLVD,ALHAMBRA,91803-1859
LIDIA LUCERO,9024 BURNET AVENUE #119,NORTH HILLS,91343-7021
MEL-Z ENTERPRISE INC,16945 SAN FERNANDO MISSION BLVD,GRANADA HILLS,91344-4250
UNION BAY PAINTING INC,12870 FOOTHILL BLVD,SYLMAR,91342-5330
ZINAIDA KOSTYUCHEK,18225 FRIAR STREET,TARZANA,91335-7034
CROSSROADS TRADING CO INC,2656 GRIFFITH PARK BLVD,LOS ANGELES,90039-2520
STEPHEN ROBERT JOHNS,2519 7TH STREET #A,SANTA MONICA,90405-3807
RONALD S COOPERMAN MD AMC,15555 COLLINA STRADA,LOS ANGELES,90077-1513
BLOCK CARTER,1531 COLORADO AVENUE,SANTA MONICA,90404-3316
HARRY D NEWMAN,634 TREE TOP LANE,THOUSAND OAKS,91360-2456
SHELLY CHANG/ALBERT CHANG,10112 HOLLOW GLEN CIRCLE,LOS ANGELES,90077-2112
CORELECTRIC INC,26752   OAK AVENUE UNIT #H,CANYON COUNTRY,91351-6615
HARRY J MOTT IV,3561 FRANCES AVENUE,LOS ANGELES,90066-2702
GRANADA BEVERLY0BEVERLY TOWER LLC,19456 VENTURA BLVD,TARZANA,91356-3091
SKID ROW DEVELOPMENT CORP,526 E 6TH STREET,LOS ANGELES,90021-1010
MIDRASHO SHEL SHEM /C,6721 MELROSE AVENUE,LOS ANGELES,90038-3411
YOUTH JOB AWARENESS PROJECT /C,3175 W 6TH STREET #110,LOS ANGELES,90020-1708
KATHY WAH KWONG,12736 JOLETTE AVENUE,GRANADA HILLS,91344-1429
CESAR CERVERA,6201 FRANKLIN AVENUE,LOS ANGELES,90028-5201
TRACT 15105 NEIGHNORHOOD ASSOCIATION/C,13167 ORTLEY PLACE,VAN NUYS,91401-1329
MEGERDICH ATCHABAHIAN,19001 VENTURA BLVD,TARZANA,91356-3213
JOHN J CANTLAY,4316 BLUEBELL AVENUE,STUDIO CITY,91604-1538
JOMAR EQUIPMENT COMPANY INC,10225 WYSTONE AVENUE,NORTHRIDGE,91324-1250
ALBERT RYBALNIK,1322 N VISTA STREET APARTMENT #4,LOS ANGELES,90046-4823
VIRGINIA L SARREAL,506 N LUCERNE BLVD,LOS ANGELES,90004-1205
CARLOS OCTOMAN,5214 EL RIO AVENUE,LOS ANGELES,90041-1121
MARCEL & RACHEL DESIGNS LLC,4587 S CENTINELA AVENUE,LOS ANGELES,90066-6248
JOE SEPE,10417 OKLAHOMA AVENUE,CHATSWORTH,91311-2450
KENNETH TSAI,800 N BROADWAY #G,LOS ANGELES,90012-2379
HUE QUYNH HUYNH,216 E 4TH STREET #27,LOS ANGELES,90013-1404
TRINITY DONET BAILEY,1162 E MENDOCINO STREET,ALTADENA,91001-2570
HAROLD C LAND,5106 4TH AVENUE,LOS ANGELES,90043-1931
GREGORY LITTMAN,2314 S HALM AVENUE,LOS ANGELES,90034-2018
STEPHEN HALPERIN,2333 DONELLA CIRCLE,LOS ANGELES,90077-1801
MARIO GONZALEZ SANCHEZ,519 S BONNIE BEACH PLACE,LOS ANGELES,90063-1508
LEE/STEPHEN/JUDITH WELDON,2070 NAVAJO TRAIL,LAFAYETTE,80026-3428
CLARK J PERRY,23648 BALMORAL LANE,WEST HILLS,91307-1307
HONG KONG NOODLE CO INC,710 E 9TH PLACE,LOS ANGELES,90021-2004
ARMANDO ALVAREZ/SAMUEL A TINOCO,11107 WYANDOTTE STREET,SUN VALLEY,91352-5059
CAL-WEST DEVELOPERS INC,17725 VANOWEN STREET,RESEDA,91335-5602
SEM IMAGE SYSTEMS SIGNS & GRAPHICS INC,870 CRENSHAW BLVD #101,LOS ANGELES,90005-5202
DIAMOND MINGORI,10408 HEBRON LANE,LOS ANGELES,90077-2720
ESTELIA CHACON,2156 COLORADO BLVD,LOS ANGELES,90041-1242
HENRY P CHOW,3711 LONG BEACH BLVD #1002,LONG BEACH,90807-3326
BACARO LLC,8636 W 3RD STREET,LOS ANGELES,90048-3323
SARAH DIDVAR-SAADI,4241 TIVOLI AVENUE,LOS ANGELES,90066-5613
BENRICH SERVICE CO INC,3190 AIRPORT LOOP DRIVE #G,COSTA MESA,92626-3403
WILMINGTON GARDENS INC,1311 W ANAHEIM STREET,WILMINGTON,90744-4109
B & I TRAVEL INC,2500 VIA CABRILLO MARINA #200A3,SAN PEDRO,90731-7224
KENNETH A BAUMGARTNER,3365 UNION PACIFIC AVENUE,LOS ANGELES,90023-3812
JOANIE P CHEN,10573 W PICO BLVD #304,LOS ANGELES,90064-2333
"THE HENRY HANGER COMPANY OF AMERICA, INC",3101 S HILL STREET,LOS ANGELES,90007-3818
ALAIN J L PAQUET,4870 W 135TH STREET,HAWTHORNE,90250-5624
RONALD A EDELSTEIN,521 N MARQUETTE STREET,PACIFIC PALISADES,90272-3315
INDALECIO OROZCO,5222 LOCKHAVEN AVENUE,LOS ANGELES,90041-1031
ALICE WETOVSKY/ROSLYN PERLMUTTER,454 N GARDNER STREET,LOS ANGELES,90036-5734
ASSOCIATED SOILS ENGINEERING INC,2860 WALNUT AVENUE,SIGNAL HILL,90755-1834
MARIA PATRICIA LOPEZ,1206 LOMITA BLVD UNIT #7,HARBOR CITY,90710-2133
